Temp,State,Degree
2015-01-7 23:00:00,Clear.,-1
2015-01-8 00:00:00,Clear.,-1
2015-01-8 01:00:00,Clear.,-1
2015-01-8 02:00:00,Clear.,-1
2015-01-8 03:00:00,Clear.,-1
2015-01-8 04:00:00,Clear.,-1
2015-01-8 05:00:00,Clear.,-1
2015-01-8 06:00:00,Clear.,-1
2015-01-8 07:00:00,Sunny.,-1
2015-01-8 08:00:00,Sunny.,-1
2015-01-8 09:00:00,Sunny.,-1
2015-01-8 10:00:00,Sunny.,-9
2015-01-8 11:00:00,Sunny.,-8
2015-01-8 12:00:00,Sunny.,-7
2015-01-8 13:00:00,Sunny.,-7
2015-01-8 14:00:00,Sunny.,-7
2015-01-8 15:00:00,Sunny.,-7
2015-01-8 16:00:00,Clear.,-7
2015-01-8 17:00:00,Clear.,-8
2015-01-8 18:00:00,Clear.,-8
2015-01-8 19:00:00,Clear.,-8
2015-01-8 20:00:00,Clear.,-9
2015-01-8 21:00:00,Clear.,-8
2015-01-8 22:00:00,Clear.,-8
2015-01-8 23:00:00,Clear.,-7
2015-01-9 00:00:00,Passing clouds.,-7
2015-01-9 01:00:00,Clear.,-6
2015-01-9 02:00:00,Clear.,-5
2015-01-9 03:00:00,Mostly cloudy.,-4
2015-01-9 04:00:00,Passing clouds.,-4
2015-01-9 05:00:00,Overcast.,-4
2015-01-9 07:00:00,Heavy snow. Ice fog.,-5
2015-01-9 08:00:00,Snow. Ice fog.,-5
2015-01-9 08:00:00,Light snow. Mostly cloudy.,-5
2015-01-9 09:00:00,Overcast.,-4
2015-01-9 10:00:00,Overcast.,-3
2015-01-9 11:00:00,Sunny.,-2
2015-01-9 12:00:00,Overcast.,-1
2015-01-9 13:00:00,Partly sunny.,1
2015-01-9 14:00:00,Partly sunny.,0
2015-01-9 15:00:00,Scattered clouds.,0
2015-01-9 16:00:00,Passing clouds.,-1
2015-01-9 17:00:00,Clear.,-1
2015-01-9 18:00:00,Clear.,-1
2015-01-9 19:00:00,Clear.,-2
2015-01-9 20:00:00,Clear.,-3
2015-01-9 21:00:00,Clear.,-3
2015-01-9 22:00:00,Clear.,-4
2015-01-9 23:00:00,Clear.,-5
2015-01-10 00:00:00,Clear.,-5
2015-01-10 01:00:00,Clear.,-6
2015-01-10 02:00:00,Clear.,-7
2015-01-10 03:00:00,Clear.,-7
2015-01-10 04:00:00,Clear.,-7
2015-01-10 05:00:00,Clear.,-8
2015-01-10 06:00:00,Clear.,-8
2015-01-10 07:00:00,Sunny.,-9
2015-01-10 08:00:00,Sunny.,-9
2015-01-10 09:00:00,Sunny.,-8
2015-01-10 10:00:00,Sunny.,-8
2015-01-10 11:00:00,Sunny.,-7
2015-01-10 12:00:00,Sunny.,-7
2015-01-10 13:00:00,Sunny.,-6
2015-01-10 14:00:00,Sunny.,-5
2015-01-10 15:00:00,Sunny.,-5
2015-01-10 16:00:00,Clear.,-6
2015-01-10 17:00:00,Clear.,-6
2015-01-10 18:00:00,Clear.,-7
2015-01-10 19:00:00,Clear.,-7
2015-01-10 20:00:00,Clear.,-7
2015-01-10 21:00:00,Clear.,-7
2015-01-10 22:00:00,Clear.,-7
2015-01-10 23:00:00,Clear.,-7
2015-01-11 00:00:00,Clear.,-8
2015-01-11 01:00:00,Clear.,-7
2015-01-11 02:00:00,Clear.,-7
2015-01-11 03:00:00,Clear.,-7
2015-01-11 04:00:00,Clear.,-7
2015-01-11 05:00:00,Clear.,-6
2015-01-11 06:00:00,Clear.,-6
2015-01-11 07:00:00,Sunny.,-6
2015-01-11 08:00:00,Sunny.,-4
2015-01-11 09:00:00,Overcast.,-3
2015-01-11 10:00:00,Overcast.,-2
2015-01-11 11:00:00,Overcast.,-1
2015-01-11 12:00:00,Overcast.,-1
2015-01-11 13:00:00,Overcast.,1
2015-01-11 14:00:00,Partly sunny.,2
2015-01-11 15:00:00,Sunny.,3
2015-01-11 16:00:00,Clear.,3
2015-01-11 17:00:00,Clear.,3
2015-01-11 18:00:00,Clear.,3
2015-01-11 19:00:00,Clear.,3
2015-01-11 20:00:00,Passing clouds.,3
2015-01-11 21:00:00,Passing clouds.,3
2015-01-11 22:00:00,Clear.,3
2015-01-11 23:00:00,Overcast.,3
